"Pipeline name","Run start","Run end","Duration","Triggered by","Status","Error","Run","Parameters","Annotations","Run ID"
"02_PL_Incremental_Copy","5/5/2026, 7:44:16 PM","5/5/2026, 7:45:03 PM","47s","63e6e797-c089-4a65-b2d8-70fdf5808463","Succeeded","","Original","","[]","9d9a7ae4-6456-4cbb-b14f-c30f7865f77d"
"01_Master_Pipeline_Github","5/5/2026, 7:44:10 PM","5/5/2026, 7:47:15 PM","3m 5s","Manual trigger","Succeeded","","Original","","[]","1661e6d2-1071-4ba0-b6a9-85e25aceb5e0"
"03_Databricks_Transformation","5/5/2026, 7:39:21 PM","5/5/2026, 7:41:31 PM","2m 10s","8776d2df-0ad8-43a6-a337-0179f4dc273e","Succeeded","","Original","","[]","9a8e93ea-66be-43a0-b35a-d996993e1c09"
"02_PL_Incremental_Copy","5/5/2026, 7:38:40 PM","5/5/2026, 7:39:20 PM","40s","964ceaff-c786-47bf-931a-a294feb7ef2b","Succeeded","","Original","","[]","158478c5-8310-409d-aca9-a1dfe1e44ab6"
"01_Master_Pipeline_Github","5/5/2026, 7:38:34 PM","5/5/2026, 7:41:32 PM","2m 59s","Manual trigger","Succeeded","","Original","","[]","125caf4b-31a8-46a4-9620-ad71b1d8dfd0"
"03_Databricks_Transformation","5/5/2026, 7:30:13 PM","5/5/2026, 7:34:12 PM","4m 0s","02884251-63d8-438c-91d4-50062654bc85","Succeeded","","Original","","[]","c5009feb-08e6-4d47-9636-2cf403c99af6"
"02_PL_Incremental_Copy","5/5/2026, 7:29:33 PM","5/5/2026, 7:30:11 PM","39s","fb4e6168-4da0-4b1f-981e-d4a105361089","Succeeded","","Original","","[]","5dbca6b1-bc62-421c-9a06-57ec4c0c2a15"
"01_Master_Pipeline_Github","5/5/2026, 7:29:25 PM","5/5/2026, 7:34:13 PM","4m 49s","Manual trigger","Succeeded","","Original","","[]","fce101d7-f0c9-4e3e-9459-4fbef98ef0dd"
"03_Databricks_Transformation","5/5/2026, 5:00:00 PM","5/5/2026, 5:00:49 PM","49s","fed8f572-ecea-4901-9fe0-bc44f0048317","Failed","Operation on target Bronze_Ingestion failed: Databricks execution failed with error state: Terminated, error message: Workload failed, see run output for details. For more details please check the run page url: https://adb-7405611128607291.11.azuredatabricks.net/?o=7405611128607291#job/973258406563592/run/583234019886938.","Original","","[]","ce04fbb2-f341-482c-81c2-2e07437c8f84"
"02_PL_Incremental_Copy","5/5/2026, 4:59:41 PM","5/5/2026, 4:59:58 PM","18s","91345dc3-e89e-4e00-9eb0-559f0ec2892c","Succeeded","","Original","","[]","048d4a73-0bd0-4b26-bc10-98b8b75041ac"
"01_Master_Pipeline","5/5/2026, 4:59:33 PM","5/5/2026, 5:00:50 PM","1m 17s","Manual trigger","Failed","Operation on target Pipeline_Databricks_Transformation failed: Operation on target Bronze_Ingestion failed: Databricks execution failed with error state: Terminated, error message: Workload failed, see run output for details. For more details please check the run page url: https://adb-7405611128607291.11.azuredatabricks.net/?o=7405611128607291#job/973258406563592/run/583234019886938.","Original","","[]","f4eeaea6-7a91-4f6a-bc74-2d7838bbc6b9"
"PL_Incremental_Copy","5/5/2026, 2:03:54 PM","5/5/2026, 2:04:36 PM","42s","Manual trigger","Succeeded","","Original","","[]","b29bc567-85ba-4284-b816-8bd8d4ed32c1"
